#,Anime,#1,#2,#3,#4-5,#6-10,#11-20,Points,Classification,Genre
2,Steins;Gate,97,74,78,78,129,130,1715,Seinen,Other
3,Attack on Titan,84,79,49,92,134,173,1649,Shonen,Fantasy / Action
4,Puella Magi Madoka Magica,79,43,46,59,102,113,1245,Seinen,Fantasy / Action
18,Gintama,70,31,18,22,30,27,699,Shonen,Other
7,Neon Genesis Evangelion,67,43,48,45,74,110,1092,Shonen,Mecha
14,Clannad,62,36,22,34,63,58,828,Seinen,Slice of Life
1,Frieren: Beyond Journey's End,60,69,62,128,217,182,1824,Shonen,Fantasy / Action
8,The Monogatari Series,59,51,34,65,78,81,1067,Seinen,Other
5,Hunter x Hunter,49,53,54,53,111,116,1170,Shonen,Fantasy / Action
9,Fullmetal Alchemist: Brotherhood,41,42,37,65,113,102,1044,Shonen,Fantasy / Action
24,One piece,39,26,17,29,38,35,565,Shonen,Fantasy / Action
13,Code Geass,37,32,21,45,96,112,836,Shonen,Mecha
17,Re: Zero,34,25,21,37,73,154,765,Shonen,Isekai
6,Kaguya-sama: Love is War series,33,29,34,81,159,179,1157,Seinen,Slice of Life
15,Mushoku Tensei: Jobless Reincarnation,27,28,29,45,94,119,805,Seinen,Isekai
19,Gurren Lagann,26,29,21,35,66,94,661,Shonen,Mecha
16,Made in Abyss,25,31,18,45,99,130,784,Seinen,Fantasy / Action
32,K-on,24,15,9,32,53,53,471,Seinen,Slice of Life
26,3-gatsu no Lion,23,17,20,36,57,71,556,Seinen,Slice of Life
21,Jojos Bizarre Adventure,22,22,16,20,82,108,594,Shonen,Fantasy / Action
27,Cowboy Bebop,22,19,23,24,52,93,547,Seinen,Other
10,Vinland Saga,20,31,43,59,145,137,1000,Seinen,Other
11,Mob Psycho 100,20,28,26,56,135,203,957,Shonen,Fantasy / Action
12,Bocchi the Rock,20,16,26,55,143,164,883,Seinen,Slice of Life
37,Fruits Basket,20,16,17,25,38,51,434,Shojo,Slice of Life
44,Hibike Euphonium,20,12,14,13,42,64,391,Seinen,Slice of Life
42,Dragon Ball,18,10,11,27,42,55,394,Shonen,Fantasy / Action
48,Legend of Galactic Heroes,18,19,16,20,19,23,351,Seinen,Other
23,Violet Evergarden,16,10,18,43,75,114,585,Seinen,Slice of Life
33,Naruto,16,22,12,27,45,70,457,Shonen,Fantasy / Action
25,A Place Furter than the Universe,15,19,22,38,60,86,559,Shonen,Slice of Life
38,One Punch Man,15,4,6,27,63,112,434,Seinen,Fantasy / Action
28,Eighty-Six,14,26,23,33,47,79,538,Shonen,Mecha
20,Death Note,13,16,22,35,94,132,642,Shonen,Other
36,Odd Taxi,13,11,15,27,44,98,436,Seinen,Other
56,FLCL,13,11,3,19,29,44,280,Seinen,Mecha
30,Your Name.,12,17,16,29,79,93,530,Seinen,Other
40,Kill La Kill,12,11,7,25,52,101,412,Seinen,Fantasy / Action
73,Aria,12,11,4,16,12,21,213,Seinen,Slice of Life
29,Jujutsu Kaisen,11,11,16,32,81,110,531,Shonen,Fantasy / Action
49,The Melancholy of Haruhi Suzumiya,11,7,6,21,55,42,322,Shonen,Other
35,Fate/zero,10,15,15,34,49,72,442,Seinen,Fantasy / Action
45,Rascal Does Not Dream of Bunny Girl Senpai,10,11,10,18,64,75,391,Shonen,Slice of Life
50,Your Lie in April,10,10,10,15,31,68,305,Shonen,Slice of Life
52,From the new world,10,9,8,18,31,54,288,Seinen,Fantasy / Action
96,Symphogear,10,7,3,6,15,17,155,Seinen,Fantasy / Action
59,Chihayafuru,9,2,7,16,33,62,257,Josei,Other
102,Sword Art Online,9,2,1,7,15,39,147,Shonen,Isekai
39,Monster,8,13,10,34,59,61,413,Seinen,Other
53,Ping Pong the Animation,8,7,8,19,37,52,283,Seinen,Other
113,Haibane Renmei,8,2,2,8,16,23,135,Seinen,Slice of Life
41,Chainsaw Man,7,10,10,19,64,109,409,Shonen,Fantasy / Action
54,The Dangers in my Heart,7,5,9,15,40,67,283,Shonen,Slice of Life
61,Nichijou,7,5,4,16,28,76,251,Shonen,Slice of Life
63,Oregairu,7,7,5,16,25,60,241,Shonen,Slice of Life
78,Serial Experiments Lain,7,6,5,10,22,32,185,Seinen,Other
87,Revolutionary Girl Utena,7,5,4,9,25,24,172,Shojo,Fantasy / Action
34,Haikyu,6,16,16,29,67,67,446,Shonen,Other
43,The Apothecary Diaries,6,4,4,19,71,133,394,Seinen,Other
58,Hyouka,6,12,3,12,40,57,263,Shonen,Slice of Life
62,Spice and Wolf,6,11,7,8,39,41,245,Shonen,Slice of Life
65,The Tatami Galaxy,6,5,7,17,29,49,236,Seinen,Slice of Life
68,Mushishi,6,6,5,18,31,37,227,Seinen,Other
84,Revue Starlight,6,8,8,7,16,30,177,Seinen,Fantasy / Action
97,Liz and the Blue Bird,6,4,4,10,22,17,153,Seinen,Slice of Life
99,Yu Yu Hakusho,6,8,4,7,13,24,149,Shonen,Fantasy / Action
22,KonoSuba,5,10,17,38,95,151,588,Shonen,Isekai
55,Yuru Camp,5,5,9,17,44,63,283,Seinen,Slice of Life
67,Girls' Last Tour,5,7,5,11,35,52,228,Seinen,Slice of Life
85,Higurashi,5,5,6,10,22,34,177,Seinen,Other
91,Princess Mononoke,5,3,7,6,25,32,165,Seinen,Fantasy / Action
124,Bang Dream! It’s MyGO!!!!!,5,2,3,5,12,18,102,Seinen,Slice of Life
31,A Silent Voice,4,18,17,29,71,85,474,Shonen,Slice of Life
46,Oshi no ko,4,8,8,13,63,118,367,Shonen,Other
47,Demon Slayer,4,3,11,32,46,91,355,Shonen,Fantasy / Action
57,Toradora,4,3,11,20,35,58,264,Shonen,Slice of Life
64,Bleach,4,10,9,12,34,39,239,Shonen,Fantasy / Action
66,Assassination Classroom,4,5,5,10,46,47,229,Shonen,Fantasy / Action
90,A Certain Scientific Railgun,4,2,6,10,18,49,167,Shonen,Fantasy / Action
118,Natsume Book of Friends,4,6,5,8,12,10,122,Shojo,Slice of Life
69,The Disastrous Life of Saiki K,3,9,4,14,40,38,227,Shonen,Slice of Life
71,Fate UBW,3,9,9,13,26,41,219,Seinen,Fantasy / Action
80,Baccano!,3,9,7,9,21,35,183,Shonen,Fantasy / Action
81,Bloom into you,3,9,4,9,22,40,178,Seinen,Slice of Life
94,Rakugo,3,4,1,14,24,32,157,Seinen,Other
95,That Time I Got Reincarnated as a Slime,3,5,3,5,23,48,156,Shonen,Isekai
